# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-t" "exon" "-g" "gene_id" "-a" "/mnt/d/RNAseq/reference/BDGP5.25.62/Drosophila_melanogaster.BDGP5.25.62.gtf" "-o" "/mnt/d/RNAseq/counts/all_samples_gene_counts.txt" "/mnt/d/RNAseq/alignment/SRR031708.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031712.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031713.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031720.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031721.sorted.bam" "/mnt/d/RNAseq/alignment/SRR031722.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/RNAseq/alignment/SRR031708.sorted.bam	/mnt/d/RNAseq/alignment/SRR031712.sorted.bam	/mnt/d/RNAseq/alignment/SRR031713.sorted.bam	/mnt/d/RNAseq/alignment/SRR031720.sorted.bam	/mnt/d/RNAseq/alignment/SRR031721.sorted.bam	/mnt/d/RNAseq/alignment/SRR031722.sorted.bam
FBgn0014879	3R;3R;3R;3R	11089257;11090075;11090327;11090741	11089666;11090264;11090677;11090975	+;+;+;+	1186	310	362	294	309	361	388
FBgn0016691	3R;3R;3R;3R;3R	11091298;11091489;11091649;11092155;11092155	11091412;11092092;11092092;11092412;11092412	+;+;+;+;+	977	520	531	485	535	722	630
FBgn0038311	3R;3R;3R	11092451;11092451;11094193	11094064;11094151;11094260	-;-;-	1769	24	23	18	18	19	13
FBgn0038312	3R;3R;3R;3R;3R	11094405;11094803;11095126;11095459;11095907	11094733;11095062;11095327;11095837;11096254	+;+;+;+;+	1518	44	47	32	37	44	37
FBgn0000283	3R;3R;3R;3R;3R;3R;3R;3R;3R	11096146;11096146;11097773;11097773;11098779;11098779;11099837;11099837;11100847	11097712;11097712;11098713;11098713;11099778;11099778;11100512;11100333;11100927	-;-;-;-;-;-;-;-;-	4265	1110	1292	1139	870	1124	992
FBgn0038313	3R	11101258	11102196	+	939	54	84	60	80	85	88
FBgn0027378	3R;3R;3R;3R	11102162;11103336;11103508;11103683	11103277;11103451;11103622;11103831	-;-;-;-	1496	123	123	105	94	141	136
FBgn0011476	3R;3R	11103870;11104225	11104163;11104351	-;-	421	16	23	13	13	16	15
FBgn0003721	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11107254;11107254;11107254;11107254;11107254;11107254;11107254;11107254;11107254;11107254;11110335;11110335;11110335;11110335;11110335;11110335;11110335;11110335;11110335;11110335;11110951;11110951;11110951;11110951;11110951;11110951;11110951;11110951;11110951;11110951;11112141;11112196;11112721;11113046;11113759;11113975;11113975;11113975;11116668;11117086;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11120835;11121149;11121149;11121149;11122313;11122313;11122313;11122313;11122313;11122313;11122313;11122313;11122313;11122313;11124999;11124999;11124999;11124999;11124999;11124999;11124999;11124999;11125832;11125832;11125832;11126469;11126469;11126469;11126469;11126469;11126469;11126469;11126469;11126469;11126469;11126469;11126733;11126733;11126733;11126733;11126733;11126733;11126733;11126733;11126733;11127346;11127346;11128875;11128875;11128875;11128875;11128875;11128875;11128875;11128875;11128875;11128875;11128875;11129363;11129363;11130900;11132063;11133312;11133312;11133312;11133312;11133312;11133312;11133312	11107325;11107325;11107325;11107325;11107579;11107325;11107325;11107325;11107320;11107325;11110484;11110484;11110484;11110484;11110484;11110484;11110484;11110484;11110484;11110484;11111076;11111076;11111076;11111076;11111076;11111076;11111076;11111076;11111076;11111076;11112286;11112286;11115161;11113543;11113824;11115161;11115161;11115161;11117247;11117247;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11120968;11121266;11121266;11121266;11123401;11123401;11122430;11122430;11122430;11122430;11122430;11123401;11122430;11122430;11125069;11125069;11125069;11125069;11125069;11125069;11125069;11125069;11125902;11125902;11125902;11126544;11126544;11126544;11126544;11126544;11126544;11126544;11126544;11126544;11126544;11126544;11126795;11126795;11126795;11126795;11126795;11126795;11126795;11126795;11126795;11127408;11127408;11128944;11128944;11128944;11128944;11128944;11128944;11128944;11128944;11128944;11128944;11128944;11130251;11130694;11131703;11132847;11133702;11133702;11133702;11133702;11133702;11133702;11133702	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8836	1134	1423	1217	1265	1662	1492
FBgn0004117	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11135915;11135988;11137813;11138122;11138122;11138122;11138831;11138831;11138831;11139313;11140250;11140250;11140250	11136021;11136021;11137916;11138768;11138768;11138768;11139008;11139008;11139008;11139742;11140834;11140920;11140834	+;+;+;+;+;+;+;+;+;+;+;+;+	2137	2	1	0	0	0	0
FBgn0038315	3R;3R;3R;3R;3R	11142195;11142365;11142616;11143217;11143217	11143160;11142543;11143160;11144012;11144012	+;+;+;+;+	1762	0	0	1	1	0	1
FBgn0038316	3R;3R	11143924;11145549	11145487;11145768	-;-	1784	88	95	82	68	97	67
FBgn0026441	3R;3R;3R	11146484;11147106;11147398	11146640;11147326;11150197	+;+;+	3178	301	342	329	207	293	297
FBgn0038318	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11151039;11151039;11151653;11151653;11152014;11152014;11152432;11152432;11153098;11153098;11153352;11153352;11153649;11153649;11153850;11153877	11151575;11151575;11151957;11151957;11152374;11152374;11153035;11153035;11153285;11153285;11153502;11153502;11153784;11153784;11154000;11154000	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2433	472	510	445	475	573	532
FBgn0000533	3R;3R;3R	11154452;11154902;11155353	11154715;11155288;11156135	+;+;+	1434	1	3	1	3	1	2
FBgn0038319	3R;3R	11156462;11156605	11156547;11157314	+;+	796	80	95	82	66	79	84
FBgn0013269	3R;3R;3R	11157306;11158338;11158735	11158270;11158550;11158864	-;-;-	1308	686	765	690	635	821	753
FBgn0038320	3R;3R;3R;3R;3R;3R;3R;3R;3R	11159001;11159388;11161275;11161628;11161795;11162056;11162653;11162801;11163246	11159317;11161219;11161567;11161740;11161994;11162591;11162747;11163187;11164103	+;+;+;+;+;+;+;+;+	4631	1235	1524	1328	1129	1478	1327
FBgn0038321	3R;3R;3R;3R;3R	11163630;11165082;11165401;11168011;11168690	11164889;11165307;11165611;11168115;11168978	-;-;-;-;-	2091	30	34	33	46	49	38
FBgn0021750	3R	11166407	11167939	+	1533	58	80	78	70	91	77
FBgn0019925	3R;3R;3R;3R;3R;3R;3R;3R;3R	11169375;11169375;11170135;11170135;11170611;11170611;11171631;11171631;11171802	11170072;11170072;11170545;11170545;11170874;11170874;11171905;11171738;11171886	-;-;-;-;-;-;-;-;-	1648	315	353	329	313	421	388
FBgn0051301	3R;3R;3R;3R;3R	11171953;11172516;11172931;11173186;11173412	11172405;11172874;11173127;11173347;11173734	+;+;+;+;+	1494	168	190	178	146	202	177
FBgn0051392	3R;3R;3R	11173841;11174224;11175417	11174164;11175148;11176060	+;+;+	1893	34	34	36	40	32	42
FBgn0038323	3R;3R	11176067;11176574	11176505;11176741	-;-	607	23	20	20	21	35	21
FBgn0038324	3R	11176949	11179648	+	2700	41	47	51	58	77	79
FBgn0038325	3R;3R;3R;3R;3R;3R	11179433;11180355;11180998;11181142;11181396;11182539	11180294;11180830;11181074;11181337;11182350;11182641	-;-;-;-;-;-	2669	84	111	96	68	95	92
FBgn0038326	3R;3R;3R;3R;3R;3R	11182967;11182967;11183112;11183115;11184261;11184261	11183042;11183042;11183996;11183996;11184982;11184982	+;+;+;+;+;+	1683	127	203	144	130	165	149
FBgn0026634	3R;3R;3R;3R	11184190;11185344;11186084;11187207	11185287;11186029;11187154;11187396	-;-;-;-	3045	107	114	83	101	118	113
FBgn0038327	3R;3R;3R	11187446;11187446;11188310	11188259;11188573;11188573	+;+;+	1128	82	100	93	107	131	125
FBgn0026737	3R;3R;3R;3R;3R	11188514;11188514;11188874;11189099;11189099	11188819;11189037;11189037;11189653;11189653	-;-;-;-;-	1079	66	70	51	72	87	79
FBgn0085433	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11189501;11189501;11189501;11190357;11190357;11190357;11191129;11191129;11191129;11191493;11191493;11191493;11191682;11191682;11191682;11192069;11192069;11192069;11192386;11192869	11190298;11190298;11190298;11191067;11191067;11191067;11191430;11191430;11191430;11191626;11191626;11191626;11192011;11192011;11192011;11192318;11192318;11192502;11192502;11193156	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2997	89	97	72	92	117	94
FBgn0038330	3R;3R;3R;3R;3R;3R	11193658;11194285;11194482;11194628;11194788;11195435	11194228;11194423;11194569;11194735;11195372;11195656	-;-;-;-;-;-	1713	43	49	46	38	59	54
FBgn0038332	3R	11195757	11197898	-	2142	65	91	70	94	125	100
FBgn0038331	3R;3R;3R;3R;3R	11197681;11198117;11198353;11198571;11199108	11197939;11198294;11198485;11198735;11199970	+;+;+;+;+	1598	189	244	220	215	288	265
FBgn0038333	3R;3R;3R	11206907;11207218;11207376	11207050;11207316;11207621	+;+;+	489	0	0	0	0	0	0
FBgn0038334	3R	11207129	11208673	-	1545	0	0	0	0	0	0
FBgn0051302	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11208720;11208720;11208720;11208720;11208979;11208979;11208979;11208979;11210798;11210798;11210828;11210828;11211402;11211402;11211402;11211402;11212165;11212165;11212165;11212165;11212439;11212439;11212439;11212439;11212902;11212902;11212902;11212902;11213640;11213640;11213640;11213640;11214397;11214397;11214397;11214397;11216848;11216848;11216848;11216848;11218016;11218016;11218016;11218016;11218932;11218932;11218932;11218932;11222032;11222032;11222032;11224835;11224835;11224835;11224835	11208912;11208912;11208912;11208912;11209457;11209457;11209412;11209412;11211341;11211341;11211341;11211341;11211513;11211513;11211513;11211513;11212343;11212343;11212343;11212343;11212639;11212639;11212639;11212639;11213092;11213092;11213092;11213092;11214327;11214327;11214327;11214327;11214632;11214632;11214632;11214632;11217465;11217465;11217465;11217465;11218357;11218357;11218357;11218357;11219220;11219220;11219220;11219220;11222099;11222099;11222099;11225733;11225733;11225733;11225733	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5039	9	8	3	4	9	7
FBgn0038337	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11228526;11228526;11229161;11229161;11229408;11229408;11229742;11229742;11230364;11230364;11231102;11232623	11229104;11229104;11229346;11229346;11229670;11229670;11230078;11230078;11231028;11231028;11231227;11232789	-;-;-;-;-;-;-;-;-;-;-;-	2323	0	1	3	1	1	1
FBgn0041188	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11234158;11235173;11235173;11237843;11237843;11237843;11238301;11238301;11238301;11239291;11239291;11239291;11240826;11240826	11234911;11235256;11235256;11238243;11238243;11238243;11239234;11239234;11239234;11240696;11242194;11240696;11242999;11241850	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5882	1470	1540	1325	894	1212	1136
FBgn0046829	3R	11243134	11243155	-	22	0	0	0	0	0	0
FBgn0046830	3R	11243270	11243291	-	22	0	0	0	0	0	0
FBgn0082180	3R	11243310	11243331	-	22	0	0	0	0	0	0
FBgn0067339	3R	11243483	11243505	-	23	0	0	0	0	0	0
FBgn0038339	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11246826;11246826;11249395;11249395;11249683;11249683;11250883;11250883;11252463;11259840	11249268;11249268;11249604;11249604;11250823;11250823;11250976;11250976;11252616;11259906	-;-;-;-;-;-;-;-;-;-	4109	0	0	0	1	0	3
FBgn0000047	3R;3R;3R	11265710;11266322;11267324	11265768;11267262;11267895	+;+;+	1572	4	6	4	6	8	4
FBgn0038341	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11267965;11267968;11269126;11269126;11269907;11269907;11270334;11270334;11270564;11270564;11270793;11270793;11271062;11271062;11271403;11271403;11272443;11272443;11272704;11272704;11272946;11272946;11273592;11273592;11273826;11273826;11274037;11274037;11274697;11274697;11275059;11275059;11300605;11300609	11269059;11269059;11269845;11269845;11270275;11270275;11270507;11270507;11270728;11270728;11270994;11270994;11271342;11271342;11271626;11271626;11272580;11272580;11272874;11272874;11273526;11273526;11273750;11273750;11273975;11273975;11274557;11274557;11274998;11274998;11275467;11275467;11301915;11301915	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6972	71	89	56	128	148	153
FBgn0038342	3R;3R	11307628;11308235	11308116;11308626	+;+	881	1	1	0	2	0	2
FBgn0019940	3R;3R	11308880;11310121	11310052;11310421	+;+	1474	0	0	0	0	0	0
FBgn0038343	3R;3R;3R	11310452;11310851;11311007	11310796;11310944;11311118	-;-;-	551	1	2	0	1	3	0
FBgn0038344	3R;3R;3R;3R;3R;3R	11311865;11312050;11313790;11314826;11315293;11318243	11311995;11313731;11314765;11315234;11318181;11319033	+;+;+;+;+;+	6878	489	598	520	550	750	697
FBgn0038345	3R	11320324	11321348	+	1025	0	0	0	0	0	0
FBgn0038346	3R;3R;3R;3R	11333781;11333781;11334386;11334934	11334284;11334284;11334560;11335362	-;-;-;-	1108	167	218	190	190	222	219
FBgn0051296	3R;3R;3R	11356239;11356614;11357070	11356554;11357014;11357195	-;-;-	843	5	10	5	8	7	9
FBgn0038347	3R;3R;3R;3R;3R;3R	11357859;11358290;11358969;11361007;11361350;11362758	11358229;11358910;11360784;11361240;11362278;11363010	-;-;-;-;-;-	4224	708	754	708	780	1046	948
FBgn0038348	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11363565;11363565;11364760;11364760;11365861;11366372;11366455;11367037;11367037;11367899;11367899	11364694;11364694;11366305;11365797;11366262;11366605;11366605;11367771;11367771;11368111;11368113	-;-;-;-;-;-;-;-;-;-;-	3860	14	28	20	40	35	49
FBgn0038349	3R;3R;3R;3R;3R;3R;3R;3R	11368474;11369451;11370219;11371366;11371657;11372451;11373077;11373247	11369391;11370159;11371310;11371599;11372391;11372605;11373180;11373457	-;-;-;-;-;-;-;-	4158	578	768	611	551	741	703
FBgn0038350	3R;3R;3R;3R;3R;3R;3R	11374350;11375210;11375975;11377127;11377410;11378219;11378455	11375149;11375918;11377066;11377360;11378150;11378373;11378494	-;-;-;-;-;-;-	3771	3	1	0	2	1	1
FBgn0038351	3R;3R;3R;3R;3R;3R;3R;3R;3R	11458605;11459619;11461224;11461575;11461805;11462991;11463268;11463500;11464765	11458721;11459871;11461412;11461739;11462190;11463103;11463443;11463795;11464977	+;+;+;+;+;+;+;+;+	1908	26	25	29	8	14	15
FBgn0053207	3R;3R;3R;3R;3R;3R;3R	11491908;11491908;11497487;11497487;11504858;11510792;11512318	11492308;11492308;11499383;11497902;11504970;11511026;11513658	+;+;+;+;+;+;+	3987	198	203	196	117	180	151
FBgn0051446	3R;3R;3R	11518811;11519051;11519688	11518992;11519505;11519920	+;+;+	870	1	2	0	3	3	3
FBgn0038353	3R;3R;3R	11520992;11521471;11521981	11521187;11521907;11522286	+;+;+	939	59	73	66	44	60	61
FBgn0038354	3R;3R;3R;3R;3R	11530417;11531639;11531914;11532294;11532653	11530950;11531859;11532235;11532455;11534156	+;+;+;+;+	2743	0	2	0	0	1	2
FBgn0051294	3R;3R;3R;3R	11541218;11541643;11541827;11542124	11541556;11541765;11542066;11542307	-;-;-;-	886	0	0	0	0	0	0
FBgn0051461	3R	11546235	11546699	+	465	0	0	0	0	0	0
FBgn0085303	3R;3R;3R	11557509;11557758;11558155	11557699;11558102;11558371	+;+;+	753	0	0	0	0	0	0
FBgn0038355	3R;3R;3R;3R	11570376;11570894;11571274;11571551	11570803;11571216;11571498;11571745	+;+;+;+	1171	0	0	0	0	0	0
FBgn0051315	3R;3R	11580613;11580730	11580662;11581086	+;+	407	0	0	0	0	0	0
FBgn0038356	3R	11588837	11589286	+	450	0	0	0	0	0	0
FBgn0038357	3R;3R	11591968;11593028	11592961;11593160	-;-	1127	0	0	0	0	0	0
FBgn0038358	3R;3R;3R;3R;3R	11600097;11600282;11601609;11602556;11603076	11600220;11600446;11602493;11603016;11603364	+;+;+;+;+	1924	0	0	1	0	0	0
FBgn0038359	3R	11605527	11606814	+	1288	1	0	0	0	0	0
FBgn0038360	3R;3R	11612423;11613540	11613480;11614063	+;+	1582	151	162	145	124	145	124
FBgn0038361	3R	11614243	11615214	+	972	0	0	5	5	3	2
FBgn0000246	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11615199;11615199;11615222;11615670;11615670;11615670;11615962;11615962;11615962;11616102;11616102;11616102;11616678;11616678;11616678;11617124;11617124;11617124;11617378;11617378;11617378;11617656;11617656;11617656;11618253;11618265	11615611;11615611;11615611;11615906;11615906;11615906;11616036;11616036;11616036;11616614;11616614;11616614;11617070;11617070;11617070;11617306;11617306;11617306;11617600;11617600;11617600;11618194;11618294;11618194;11618294;11618294	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2676	54	63	56	92	88	89
FBgn0038363	3R;3R;3R;3R	11618461;11618679;11618764;11618932	11618623;11618695;11618873;11619116	+;+;+;+	475	39	40	23	52	71	71
FBgn0038364	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11619498;11619498;11619498;11619498;11619518;11619539;11619539;11620551;11620551;11620551;11620551;11620551;11620551;11620551;11621368;11621368;11621368;11621368;11621368;11621368;11621368;11623020;11623020;11623020;11623020;11623020;11623020;11623020;11623809;11623809;11623809;11623809;11623809;11623809;11623809;11624443;11624446;11624446;11624446;11624446;11624446;11624868;11624868;11624868;11624868;11624868;11624868;11624868;11625098;11625098;11625098;11625098;11625098;11625098;11625098;11626186;11626186;11626186;11626186;11626186;11626186;11626186	11619675;11619675;11619675;11619675;11619569;11619775;11619771;11621301;11621301;11621301;11621301;11621301;11621301;11621301;11622613;11622613;11622613;11622613;11622613;11622613;11622613;11623516;11623516;11623516;11623516;11623516;11623516;11623516;11624132;11624132;11624132;11624126;11624126;11624758;11624132;11624758;11624758;11624758;11624758;11624758;11624758;11624984;11624984;11624984;11624984;11624984;11624984;11624984;11626022;11626022;11626022;11626022;11626022;11626022;11626022;11627647;11627647;11627647;11627647;11627647;11627658;11627647	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6237	1113	1202	1061	785	1049	878
FBgn0038365	3R;3R;3R	11627866;11628167;11628560	11627934;11628487;11629261	+;+;+	1092	16	21	21	15	20	12
FBgn0026616	3R;3R;3R;3R;3R	11629974;11644638;11645206;11647285;11647888	11630327;11645146;11647225;11647828;11649840	+;+;+;+;+	5380	75	75	71	89	118	101
FBgn0003227	3R;3R	11648709;11656076	11650592;11658354	-;-	4163	50	68	44	77	84	79
FBgn0038366	3R;3R;3R;3R;3R;3R;3R;3R	11651471;11652823;11653950;11654244;11655012;11655270;11655673;11655887	11651900;11653118;11654115;11654947;11655205;11655610;11655815;11656044	+;+;+;+;+;+;+;+	2432	6	5	7	5	12	12
FBgn0038368	3R;3R	11659184;11659758	11659656;11660147	-;-	863	0	1	0	1	1	2
FBgn0038369	3R;3R;3R;3R;3R	11660370;11660390;11660635;11660919;11660919	11660493;11660808;11660808;11661434;11661434	+;+;+;+;+	955	209	229	215	231	274	269
FBgn0017567	3R;3R;3R	11661770;11662077;11662712	11662008;11662528;11662819	-;-;-	799	253	262	245	218	288	276
FBgn0003483	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11663159;11663460;11665421;11666252;11666994;11667179;11667825;11668040;11669237;11669420;11669696	11663402;11663702;11666154;11666904;11667127;11667768;11667972;11669176;11669358;11669632;11670138	+;+;+;+;+;+;+;+;+;+;+	4661	156	200	183	185	236	235
FBgn0038371	3R	11663868	11665193	-	1326	17	30	22	19	21	26
FBgn0051150	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11670188;11670544;11671227;11671466;11674154;11674440;11674622;11674861;11675422;11675711;11675993;11676438;11677472;11678450;11679000	11670486;11671142;11671406;11671609;11674381;11674566;11674737;11675363;11675653;11675930;11676383;11677410;11677699;11678649;11679301	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4742	2644	3101	2707	1831	2384	2173
FBgn0038373	3R;3R;3R	11672230;11672577;11672892	11672510;11672827;11674158	+;+;+	1799	6	15	5	10	14	6
FBgn0038376	3R;3R;3R;3R;3R;3R	11679590;11681251;11681719;11682105;11682360;11683052	11681187;11681655;11682044;11682304;11682675;11683194	-;-;-;-;-;-	2988	555	597	541	522	658	587
FBgn0051183	3R;3R;3R;3R;3R;3R;3R;3R	11683801;11685720;11687493;11687811;11688706;11690507;11692175;11694895	11685661;11685903;11687657;11688539;11689132;11690651;11692289;11695774	-;-;-;-;-;-;-;-	4506	2	3	1	2	1	0
FBgn0038377	3R;3R;3R	11685918;11685918;11686498	11686329;11687200;11687200	+;+;+	1283	0	0	0	0	0	0
FBgn0038380	3R;3R;3R	11714916;11715184;11715468	11715126;11715367;11715837	-;-;-	765	0	1	2	0	0	0
FBgn0027657	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11722648;11722648;11722648;11722648;11722653;11723270;11723270;11723270;11723270;11723270;11723497;11723497;11723497;11723497;11726732;11726930;11727924;11728165;11728165;11728165	11723145;11723145;11723145;11723145;11723145;11723737;11723431;11723431;11723431;11723431;11723737;11723737;11723737;11723737;11727076;11727083;11728105;11728226;11728226;11728226	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1562	107	168	135	85	120	121
FBgn0051292	3R;3R	11731969;11732309	11732249;11732472	+;+	445	0	0	0	0	0	0
FBgn0038381	3R;3R;3R;3R;3R	11734156;11734501;11734807;11735070;11735366	11734441;11734660;11735012;11735302;11736089	+;+;+;+;+	1609	55	50	42	17	36	38
FBgn0051291	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11736088;11736088;11736088;11736777;11736777;11737768;11737768;11737768;11740108;11740108;11740108;11740518;11740518;11740518;11740679;11740679;11740679;11742128;11742128;11742128;11743279	11737540;11736685;11736685;11737540;11737540;11737892;11737892;11737892;11740225;11740225;11740225;11740602;11740602;11740602;11742067;11742067;11742067;11742444;11742338;11742444;11743526	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3735	0	0	0	0	0	1
FBgn0085304	3R;3R	11737987;11738434	11738161;11739653	-;-	1395	0	1	0	0	0	0
FBgn0038385	3R;3R;3R;3R;3R	11746635;11755632;11756566;11757438;11757690	11747026;11756508;11757357;11757617;11758614	+;+;+;+;+	3166	5	1	4	0	2	1
FBgn0085305	3R;3R	11751827;11752095	11752024;11752321	+;+	425	0	0	0	0	0	0
FBgn0038386	3R	11758422	11759456	-	1035	0	0	1	0	0	0
FBgn0038387	3R;3R;3R	11759586;11759722;11760097	11759654;11760036;11760668	+;+;+	956	72	126	103	91	124	113
FBgn0013334	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	11760822;11760841;11760841;11760841;11760841;11760841;11760841;11760841;11761553;11761675;11761699;11761699;11770671;11770671;11770671;11770671;11770671;11777324;11777324;11777324;11777324;11777324;11777324;11777324;11777324;11779880;11779880;11779880;11779880;11779880;11779880;11779880;11779880;11780305;11780305;11780305;11780305;11780305;11780305;11780305;11780305;11780469;11780469;11780469;11780469;11780469;11780469;11780469;11780469;11780809;11780809;11780809;11780809;11780809;11780809;11780809;11780809;11781712;11781712;11781712;11781712;11781712;11782587;11782587;11783313;11785042;11785042;11785042;11785042;11785042;11785042;11785042;11785042	11762062;11762062;11761306;11762062;11762062;11761306;11761634;11761306;11762062;11762062;11762062;11762062;11770718;11770718;11770718;11770718;11770718;11777572;11777572;11777572;11777572;11777572;11777572;11777572;11777572;11779977;11779977;11779977;11779956;11779977;11779977;11779977;11779956;11780405;11780405;11780405;11780405;11780405;11780405;11780405;11780405;11780743;11780743;11780743;11780743;11780743;11780743;11780743;11780743;11780927;11780927;11780927;11780927;11780927;11780927;11780927;11780927;11782029;11782029;11782029;11782029;11782029;11783641;11783641;11783641;11787847;11787847;11787847;11787847;11787847;11787847;11787847;11787847	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6310	426	394	341	273	406	360
FBgn0051088	3R;3R;3R;3R	11775923;11776228;11776348;11776474	11776174;11776270;11776411;11776665	-;-;-;-	551	2	3	1	2	4	3
FBgn0038388	3R;3R;3R;3R	11787889;11787889;11789321;11789321	11789267;11789263;11789571;11789571	-;-;-;-	1630	112	130	123	141	159	134
FBgn0038389	3R;3R;3R;3R;3R	11789589;11789604;11789698;11789887;11789887	11789619;11789819;11789819;11790483;11790483	+;+;+;+;+	828	62	54	54	48	66	63
